file_name,label,word_sequence
4715_9.txt,1,0-0-2-0-102-0-999-0-137-0-0-73-0-738-0-0-0-0-0-672-0-2-0-722-0-0-63-65-0-0-0-0-49-0-0-0-28-0-0-0-0-29-0-0-0-0-0-0-0-0-423-0
12390_8.txt,1,969-94-2-965-0-641-0-0-0-0-0-0-185-0-138-0-0-0-0-82-0-489-0-0-0-0-0-0-0-0-0-0-853-0-0-0-0-0-0-0-0-0-465-0-50-0-0-0-0-0-14-0-0-0-118-0-277-0-0-0-0-0-0-0-0-0-0-919-0-0-787-0-0-0-0-0-0-0-0-0-0-291-0-81-11-249-0-0-0-442-0-0-0-0-0-0-0-246-0-0-0-0-0-0-73-0-0-0-0-20-140-0-0-0-423-0-0-2-0-596-0-0-0-0-735-0-0-0-0-0-0-332-0-0-0-0-0-0-0-0-0-0-0-260-0-0-668-0-14-0-68-346-0-0-0-0-0-0-160-0-0-0
8329_7.txt,1,0-970-0-0-3-0-0-0-0-254-0-370-75-0-0-0-57-0-7-24-0-51-0-0-0-23-0-12-0-0-0-0-254-49-0-0-0-264-0-0-317-0-0-0-0-0-0-0-0-0-0-0-0-0-0
9063_8.txt,1,0-0-522-400-0-712-439-0-0-589-0-0-652-0-0-0-226-0-284-5-187-0-0-2-0-0-0-0-0-222-0-0-0-1-1-332-581-0-0-0-157-0-0-0-0-0-373-5-0-292-10-600-0-0-62-372-0-62-391-0-0-0-0-0-0-898-0-0-0-249-0-141-239-0-34-623-150-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0-81-0-722-0-0-0-0-278-0-0-0-0-0-0-0-226-0-0-218-0-0-0-0-0-0-0-0-375-0-0-0-0-0-0-0-0-0-0-0-218-0-0-0-0-0-920-0-0-0-0-0-1-1-722-0-0-0-0-315-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-177-0-511-0-0-0-0-0-0-0-9-0-0-0-0-0-722-278-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-779-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-279-5-0-0-0-0-0-0-0-226-282-299-0-0-803-0-0-0-438-0-1-1-0-0-43-0-0-0-42-0-0-0-0-0-0-342-0-284-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-883-3-0-0-0-0-0-0-1-1-0-0-0-18-0-0-0-0-0-0-0-0-0-110-0-0-0-0-0-0-0-0-0-335-846-0-0-0-0-0-1-1-0-18-0-0-0-162-0-0-0-0-0-0-0-0-292-0-0-0-0-0-0-0-1-1-0-0-0-0-0-0-2-0-23-226-0-0-0-0-0-12-0-0-0-0-0-212-0-0-0-235-0-815-0-0-0-0-0-0-0-679-0-0-0-0-0-0-0-0-679-0-57-0-31-0-0-0-0-0-0-1-1-0-0-47-0-0-3-0-0-0-0-31-0-0-362-0-456-0-0-0-0-0-0-0-0-0-0-20-2-20-0-0-377-0-0-0-0-0-0-0-0
3092_10.txt,1,0-129-0-326-42-0-0-0-0-0-512-34-0-0-0-0-0-0-0-176-0-73-0-551-0-0-58-0-0-0-698-0-370-41-43-0-0-697-0-0-0-297-0-862-41-0-0-0-59-0-143-0-0-0-0-0-0-0-0-0-0-0-0-879-0-0-0-0-0-417-8-0-226-0-20-254-41-0-475-0-0-669-0-147-0-441-0-0-829-0-0-0-0-0-0-23-0-167-0-146-0-0-0-0-0-121-0-0-0-0-0-0-0-0-277-9-0-0-0-0-0-176-0-0-512-0-0-0-0-311-0-0-104-0-0-171-0-144-0-0-725
9865_8.txt,1,0-105-0-2-0-31-0-292-145-0-0-0-0-917-0-0-0-96-0-0-132-6-0-0-2-0-0-0-292-0-0-0-0-855-0-0-0-0-351-0-0-42-0-292-0-289-0-0-652-18-329-0-0-218-0-0-218-0-27-668-0-0-0-0-0-624-0-17-751-0-2-0-22-0-226-0-0-0-0-932-145-0-289-0-0-0-0-289-0-0
6639_10.txt,1,0-611-0-746-1-1-0-222-0-0-0-0-0-0-0-0-30-1-1-0-52-0-230-0-1-1-0-0-0-0-0-0-0-0-4-79-477-60-607-1-1-0-0-0-0-0-222-0-612-0-441-0-0-0-92-0-0-0-0-0-0-461-0-15-0-21-3-43-22-0-44-0-0-0-0-101-46-494-203-0-20-0-0-736-0-774-0-0-0-731-0-0-749-0-0-0-0-0-0-0-0-0-587-0-0-1-1-0-553-0-0-267-0-1-1-0-0-0
10460_10.txt,1,0-0-0-6-3-0-0-813-590-0-39-0-0-0-317-0-0-0-0-429-0-0-0-0-0-381-0-0-0-106-0-0-0-0-0-0-0-0-0-0-0-48-0-0-10-984-0-628-0-106-0-0-0-0-0-0-0-17-0-0-0-0-0-7-39-0-12-0-2-0-0-0-0-0-0-462-5-0-55-40-0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-558-158-0-0-0-0-0-0-317-0-3-0-0-668-0-0-0-378
10331_10.txt,1,22-0-0-0-0-0-0-361-0-0-742-3-0-0-0-232-394-0-0-0-0-180-394-0-0-0-322-0-0-0-0-21-31-0-585-0-0-0-5-0-0-822-0-4-0-0-6-0-0-0-124-0-474-0-0-0-0-427-0-0-0-0-0-3-0-0-394-1-1-428-0-384-0-0-0-0-107-0-0-0-0-0-490-0-0-0-0-0-0-269-0-175-0-0-0-0-0-62-0-346-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-159-0-0-549-0-197-0-0-0-0-0-0-269-0-0-0-0-0-0-0-6-673-0-0-982-0-384-0-0-0-115-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0-0-0-0-0-0-0-732-0-0-0-0-0-0-0-419-0-0-0-0-674-0-0-0-0-0-0-0-0-1-1-0-0-0-0-0-0-45-5-0-0-0-0-0-0-0-0-322-0-0-0-0-0-0-0-899-0-454-0-0-613-0-0-0-0-0-820-0-0-0-0-0-0-0-0-0-322-0-0-43-0-0-0-0-0-0-0-489-0-0-0-0-0-0-0-0-81-0-384-0-0-427-0-0-0-565-0-0-108-0-10-63-0-75-0-0-37-0-0-0-10-0-3-0-0-0-0-66-0-0-0-0-0-245-0-55-288-0-0-0-0-0-0-0-0-0-288-0-0-0-0-0-55-0-377-0-0-23-0-0-0-0-0-1-1-0-0-0-0-0-0-0-177-0-0-0-0-0-0-0-578-0-4-9-0-0-0-0-0-846-0-0-0-0-0-235-0-0-0-0-246-0-0-0-0-0-0-499-0-0-875-0-17-442-0-0-0-0-0-0-189-83-130-0-0-0-0-0-0-182-0-0-0-214-0-0-0-0-0-212-0-0-0-0-0-0-0-0-0-0-164-0-0-0-0-0-731-0-0-197-164-0-0-346-0-0-0-83-45-0-0-0-474-40-0-0-0-0-0-180-394-620-0-27-186-0-0-0-0-0-124-0-0-0-0-0-0-0-0-0-600-1-1-0-0-0-0-0-0-0-742-0-0-14-172-54
11606_10.txt,1,0-0-0-45-0-795-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-3-1-1-0-4-227-795-0-0-252-4-15-48-0-40-0-34-0-0-0-0-666-0-0-0-0-0-0-72-0-0-248-523-1-1
